timestamp,node,namespace,pod,container,anomaly_score,is_anomaly,top_features
2026-05-27T03:10:59Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 95.274, ""z"": 119.731}, {""feature"": ""network_rx_bytes"", ""value"": 290401.412, ""z"": 30.386}, {""feature"": ""syscall_write_rate"", ""value"": 484.522, ""z"": 29.899}]"
2026-05-27T03:11:09Z,mock-node,default,mock-pod,app,0.94926,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 74.63, ""z"": 92.36}, {""feature"": ""syscall_read_rate"", ""value"": 846.216, ""z"": 30.888}, {""feature"": ""syscall_write_rate"", ""value"": 484.181, ""z"": 29.873}]"
2026-05-27T03:11:19Z,mock-node,default,mock-pod,app,0.89766,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 117.955, ""z"": 149.804}, {""feature"": ""syscall_write_rate"", ""value"": 565.933, ""z"": 36.07}, {""feature"": ""network_rx_bytes"", ""value"": 266721.785, ""z"": 27.391}]"
2026-05-27T03:11:29Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 106.398, ""z"": 134.481}, {""feature"": ""syscall_read_rate"", ""value"": 887.354, ""z"": 32.713}, {""feature"": ""network_rx_bytes"", ""value"": 302181.346, ""z"": 31.875}]"
2026-05-27T03:11:39Z,mock-node,default,mock-pod,app,0.986943,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 114.188, ""z"": 144.809}, {""feature"": ""network_rx_bytes"", ""value"": 316300.965, ""z"": 33.661}, {""feature"": ""syscall_write_rate"", ""value"": 505.88, ""z"": 31.518}]"
2026-05-27T03:11:49Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 78.134, ""z"": 97.006}, {""feature"": ""network_rx_bytes"", ""value"": 364950.739, ""z"": 39.814}, {""feature"": ""syscall_write_rate"", ""value"": 536.997, ""z"": 33.877}]"
2026-05-27T03:11:59Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 106.515, ""z"": 134.636}, {""feature"": ""network_rx_bytes"", ""value"": 327856.287, ""z"": 35.122}, {""feature"": ""syscall_read_rate"", ""value"": 873.951, ""z"": 32.118}]"
2026-05-27T03:12:09Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 97.24, ""z"": 122.338}, {""feature"": ""syscall_write_rate"", ""value"": 506.855, ""z"": 31.592}, {""feature"": ""network_rx_bytes"", ""value"": 240996.512, ""z"": 24.138}]"
2026-05-27T03:12:19Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 100.402, ""z"": 126.53}, {""feature"": ""network_rx_bytes"", ""value"": 342590.487, ""z"": 36.986}, {""feature"": ""syscall_write_rate"", ""value"": 422.005, ""z"": 25.16}]"
2026-05-27T03:12:29Z,mock-node,default,mock-pod,app,0.873355,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 88.194, ""z"": 110.344}, {""feature"": ""network_rx_bytes"", ""value"": 350791.064, ""z"": 38.023}, {""feature"": ""syscall_write_rate"", ""value"": 535.09, ""z"": 33.732}]"
2026-05-27T03:12:39Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 108.488, ""z"": 137.252}, {""feature"": ""network_rx_bytes"", ""value"": 314622.419, ""z"": 33.449}, {""feature"": ""syscall_read_rate"", ""value"": 814.432, ""z"": 29.478}]"
2026-05-27T03:12:49Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 105.975, ""z"": 133.92}, {""feature"": ""network_rx_bytes"", ""value"": 280598.183, ""z"": 29.146}, {""feature"": ""syscall_write_rate"", ""value"": 374.136, ""z"": 21.532}]"
2026-05-27T03:12:59Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 92.697, ""z"": 116.315}, {""feature"": ""syscall_write_rate"", ""value"": 445.765, ""z"": 26.961}, {""feature"": ""syscall_read_rate"", ""value"": 724.621, ""z"": 25.494}]"
2026-05-27T03:13:09Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 116.33, ""z"": 147.649}, {""feature"": ""network_rx_bytes"", ""value"": 330741.744, ""z"": 35.487}, {""feature"": ""syscall_write_rate"", ""value"": 523.696, ""z"": 32.869}]"
2026-05-27T03:13:19Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 95.593, ""z"": 120.154}, {""feature"": ""syscall_write_rate"", ""value"": 553.495, ""z"": 35.127}, {""feature"": ""syscall_read_rate"", ""value"": 740.046, ""z"": 26.178}]"
2026-05-27T03:13:29Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 84.6, ""z"": 105.579}, {""feature"": ""network_rx_bytes"", ""value"": 356987.102, ""z"": 38.806}, {""feature"": ""syscall_write_rate"", ""value"": 491.509, ""z"": 30.429}]"
2026-05-27T03:13:39Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 97.332, ""z"": 122.46}, {""feature"": ""network_rx_bytes"", ""value"": 363298.428, ""z"": 39.605}, {""feature"": ""syscall_write_rate"", ""value"": 555.322, ""z"": 35.266}]"
2026-05-27T03:13:49Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 88.84, ""z"": 111.201}, {""feature"": ""syscall_write_rate"", ""value"": 548.026, ""z"": 34.713}, {""feature"": ""syscall_read_rate"", ""value"": 917.328, ""z"": 34.042}]"
2026-05-27T03:13:59Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_connect_rate"", ""value"": 112.489, ""z"": 142.556}, {""feature"": ""network_rx_bytes"", ""value"": 359693.468, ""z"": 39.149}, {""feature"": ""syscall_read_rate"", ""value"": 785.666, ""z"": 28.202}]"
